"date","Москва","region"
"2014-01-15","12993","Москва"
"2014-02-15","11670","Москва"
"2014-03-15","13632","Москва"
"2014-04-15","13047","Москва"
"2014-05-15","13451","Москва"
"2014-06-15","13609","Москва"
"2014-07-15","14546","Москва"
"2014-08-15","14068","Москва"
"2014-09-15","14484","Москва"
"2014-10-15","14638","Москва"
"2014-11-15","14221","Москва"
"2014-12-15","19036","Москва"
"2015-01-15","14474","Москва"
"2015-02-15","13511","Москва"
"2015-03-15","15554","Москва"
"2015-04-15","14580","Москва"
"2015-05-15","15062","Москва"
"2015-06-15","15697","Москва"
"2015-07-15","16432","Москва"
"2015-08-15","16369","Москва"
"2015-09-15","15259","Москва"
"2015-10-15","16129","Москва"
"2015-11-15","15973","Москва"
"2015-12-15","19078","Москва"
"2016-01-15","16536","Москва"
"2016-02-15","16547","Москва"
"2016-03-15","17721","Москва"
"2016-04-15","17813","Москва"
"2016-05-15","17761","Москва"
"2016-06-15","18534","Москва"
"2016-07-15","18444","Москва"
"2016-08-15","19458","Москва"
"2016-09-15","18344","Москва"
"2016-10-15","19047","Москва"
"2016-11-15","18920","Москва"
"2016-12-15","21686","Москва"
"2017-01-15","19102","Москва"
"2017-02-15","18062","Москва"
"2017-03-15","20097","Москва"
"2017-04-15","19118","Москва"
"2017-05-15","21057","Москва"
"2017-06-15","20386","Москва"
"2017-07-15","21510","Москва"
"2017-08-15","21255","Москва"
"2017-09-15","20417","Москва"
"2017-10-15","21566","Москва"
"2017-11-15","21279","Москва"
"2017-12-15","23556","Москва"
"2018-01-15","22221","Москва"
"2018-02-15","19696","Москва"
